"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"158","TØNSBERG FOTKLINIKK AS
                ","918429999","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"159","TØNSBERG UTVIKLING AS
                ","918431675","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"160","UNI-BOX AS
                ","918325417","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"161","US AUTOSERVICE STIAN ALEKSANDER KARLSEN
                ","915564755","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"162","VEDLIKEHOLD AAD AS
                ","917684421","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"163","VESTFOLD AVLØPSRENSING AS
                ","918421599","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"164","VESTFOLD BUDBILSERVICE ANDERSEN
                ","989762923","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"165","WILLY TROLLSÅS BYGGEFIRMA AS
                ","918440909","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"166","WINTHER AS
                ","918416684","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"167","XO RUSS AS
                ","918283110","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"168","ØNH KLINIKK AS
                ","918405828","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"169","ØYVIND'S MASKIN OG TRANSPORT AS
                ","918447008","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"170","ÅRSTEIN HOLDING AS
                ","918488952","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"171","ABC VARMETEKNIKK AS
                ","818433492","2017-02-02","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"172","ADLERS GATE AS
                ","918495533","2017-02-02","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"173","AKTIV PARK AS
                ","918504257","2017-02-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"174","ALTECH BUD & MONTERING AS
                ","918532374","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"175","ALÅS AS
                ","918532056","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"176","AMS CONSULTING AS
                ","918532145","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"177","ANDERS KALMOE
                ","918503811","2017-02-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"178","ANGELL ENGINEERING
                ","918613390","2017-02-23","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"179","ANOBO VAKTMESTERSERVICE HARALD HÅGEN HÅGENSEN
                ","918606769","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"180","AR SUPPORT AS
                ","918612785","2017-02-23","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"181","ARNADAL EIENDOM AS
                ","918555927","2017-02-13","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"182","ARVE THON ANDREASSEN & BROR HOLDING AS
                ","918534962","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"183","AS HØGÅS STEIN
                ","918484795","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"184","AS RAADHUSET
                ","918502548","2017-02-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"185","AS TRIKKER'N
                ","918624732","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"186","ASPA NORGE AS
                ","818545142","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"187","AT ANLEGG AS
                ","918552006","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"188","AUTOMATION OF THINGS AS
                ","918595872","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"189","AUTOSPESIALISTEN HOLDING AS
                ","918494812","2017-02-06","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"190","AUTOVASK IMPORT UTLEIE AS
                ","918535780","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"191","BARNEGLEDE CHRISTINE FLESCHE NØSTDAHL
                ","918531424","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"192","BEERINNOVATION NORWAY THOMAS AAS
                ","818481942","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"193","BETTCO AS
                ","918624686","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"194","BGA EIENDOM AS
                ","918631356","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"195","BICI & SKI AS
                ","918490310","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"196","BILELEKTRIKER AURIMAS AURIMAS CEPONIS
                ","918607757","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"197","BOATSUPPLY AS
                ","818501412","2017-02-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"198","BORGESKOGEN NÆRINGSOMRÅDE SA
                ","916492405","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"199","BUE TOR VILHELM
                ","969351145","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"200","BYGGEFIRMA VIDAR LARSEN AS
                ","918547444","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"201","DARK LIGHT DTG LOE
                ","918591036","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"202","DATAEASE NORGE AS
                ","918537635","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"203","DELPHI GEO AS
                ","918531602","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"204","DIAMANT RENHOLD SERVICE AS
                ","918580077","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"205","DMD BILLAKKERING V/DARIUS MICKUNAS
                ","913323556","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"206","DOMENENAVN.NO AS
                ","918523944","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"207","DR SHUJA UR REHMAN AS
                ","918541802","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"208","DRIFT OG ANLEGG AS
                ","918546332","2017-02-15","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"209","DUGNADSTV AS
                ","918512047","2017-02-28","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"210","DUSTPAL AS
                ","918578846","2017-02-28","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"211","EASYWEB AS
                ","918486496","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"212","EASYWEB NORGE AS
                ","918588086","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"213","EIENDOMS REHABILITERING AS
                ","918490493","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
