"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"183","VANNMEISLING AS
                ","918301623","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"184","VEGG OG HIMLING MONTØRER AS
                ","918343644","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"185","VEGGLI VERTSHUS AS
                ","918484043","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"186","VENATOR SERVICE OG VERKSTED AS
                ","918338934","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"187","VISERGUTTKONTORET DRAMMEN AS
                ","818408242","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"188","VÅRLY AS
                ","918466223","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"189","WACH.NO PIOTR WACH
                ","918414568","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"190","WARP NEGLSALONG
                ","918307443","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"191","WELHAVEN EIENDOM & UTVIKLING AS
                ","918489827","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"192","WEMAN HOLDING AS
                ","918487298","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"193","YFH HOLDING AS
                ","918432027","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"194","ØST-ENTREPRENØR AS
                ","918327827","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"195","ØSTLANDBYGG AS
                ","918488936","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"196","ÅMOT PIZZA OG KEBAB MOHAMMED ZAMAN TARAKHEL
                ","917624844","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"197","ÅSEN BOLIG AS
                ","818459602","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"198","2 PÅ TRE FRODE ØDEGAARD
                ","918634681","2017-02-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"199","3 T BYGG AS
                ","918632514","2017-02-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"200","3 T BYGG HJELPESELSKAP AS
                ","918632689","2017-02-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"201","ABC-FØRSTEHJELP OG LIVREDNING DA
                ","918449906","2017-02-24","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"202","ADACC REGNSKAP DRAMMEN AS
                ","918509240","2017-02-04","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"203","ADVOKAT ROLF B. NYBAKK
                ","918516492","2017-02-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"204","AGHOLDING AS
                ","918611673","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
