"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"148","DFP AS
                ","918571248","2017-02-15","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"149","EDINSIGHTS AS
                ","918602496","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"150","EIDEKOLLEN VA AS
                ","918613692","2017-02-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"151","ELENS AS
                ","917016267","2017-02-04","Administrativ kunngjøring                         
                ","Troms","Før"
"152","EMBRACE LIVING SENJA AS
                ","918565043","2017-02-15","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"153","ENGEN ELEKTRO AS
                ","918536752","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"154","ESSENS VIGDIS DAGSPA II AS
                ","818609582","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"155","FEIT FISK AS
                ","918569456","2017-02-15","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"156","FIREHILL RACING INGAR ÅGE BRANDHAUG
                ","918569200","2017-02-15","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"157","FISH EXPORT AS
                ","918623663","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"158","FJEHAN AS
                ","918639454","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"159","FRODE ANDRE OLSEN SKO
                ","918561323","2017-02-14","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"160","GEIR SØVIK AS
                ","918546324","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"161","GLENN KANEBOG HOLDING AS
                ","918526072","2017-02-07","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"162","GREEN MARINE DEVELOPMENT AS
                ","918577866","2017-02-16","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"163","HAPPYSKIN AS
                ","918609571","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"164","HEILOVEGEN 23 AS
                ","918524541","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"165","HELEN LATIFI HEADWEAR
                ","918625755","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"166","HELSEKOST HARSTAD AS
                ","918552995","2017-02-13","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"167","HELT DIGITAL AS
                ","918609865","2017-02-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"168","INTOUR AS
                ","918503706","2017-02-14","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"169","ISHAVSDYKK AS
                ","918529578","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"170","ISTI DRIFT AS
                ","918608664","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"171","JAN SEIRING HOLDING AS
                ","918504206","2017-02-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"172","JØKON AS
                ","918573763","2017-02-16","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"173","KAN RØR AS
                ","918537503","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"174","KATSIARYNA BUTOUSKAYA
                ","918594337","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"175","KLYKKEN AS
                ","918582347","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"176","KORSBERG HOLDING AS
                ","918587985","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"177","KRABBENESMYRA JAKT OG FISKEOPPLEVELSER, KARL- PETTER JOHANSEN
                ","918611347","2017-02-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"178","KRISTER MYHRE
                ","918109366","2017-02-28","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"179","KRYSTALLPLANETEN AS
                ","918474706","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"180","LEATHERLAND GEORG MATHISEN
                ","816509122","2017-02-06","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"181","LME HELSE JØRGEN ENGENES
                ","918542116","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"182","LYNGENFJORD LOGISTIC DA
                ","918577130","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"183","LYNGSALPEDYR AS
                ","918590722","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"184","MAUKEN AS
                ","918554041","2017-02-13","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"185","MIRIAM OLSEN
                ","918595309","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"186","MYRVEGEN FAMILIEBARNEHAGE AS
                ","918491902","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"187","NORDBYGG AS
                ","918622527","2017-02-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"188","NØRGÅRD GRUS AS
                ","918587772","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"189","POLAR EVENTS Kjetil Kristoffersen
                ","984907966","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"190","PRAESENTIA STÅLE MICHAEL MARTHINSEN
                ","918508716","2017-02-04","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"191","PSYKOLOGITJENESTER AS
                ","918582479","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"192","REISA REKER AS
                ","918540059","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"193","RØSTAD TRANSPORT AS
                ","918570608","2017-02-15","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"194","SAVITAS AS
                ","818532342","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"195","SEATEK AS
                ","918495010","2017-02-06","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"196","SJØBO EIENDOM AS
                ","918582452","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"197","SJØGATA 2 EIENDOM AS
                ","918464980","2017-02-07","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"198","SJØPYNT T-54-N AS
                ","918641009","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"199","SJØVEGAN EIENDOM AS
                ","918491899","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"200","SKAR AS
                ","918539344","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"201","SKYNAP AS
                ","918544267","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"202","SL-TAKST AS
                ","918600981","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"203","SNEKKER, TØMRER OG BYGG AS
                ","918590757","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"204","SOLSKINNSDALEN BYGG AS
                ","918407685","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"205","ST-KLIMA BLIKK AS
                ","918525637","2017-02-07","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"206","STAKKEVOLLVEGEN 65 AS
                ","918625984","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
